Machine Name,Device Name,Description,Device Type,Connected,Safe To Unplug,Disabled,USB Hub,Drive Letter,Serial Number,Created Date,Last Plug/Unplug Date,VendorID,ProductID,Firmware Revision,USB Class,USB SubClass,USB Protocol,Hub / Port,Computer Name,Vendor Name,Product Name,ParentId Prefix,Service Name,Service Description,Driver Filename,Device Class,Device Mfg,Power,USB Version,Driver Description,Driver Version,Instance ID
PEPWUD25364,HP Basic USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,4/13/2011 1:06:04 PM,10/12/2011 9:18:03 AM,03f0,324,1,3,1,1,"Hub 0, Port 1",,Hewlett-Packard,SK-2885 keyboard,6&2eb773e4&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_03f0&Pid_0324\5&131b0a18&0&1
PEPWUD25364,HP Basic USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,10/12/2011 10:33:28 AM,12/29/2011 2:08:19 AM,03f0,324,1,3,1,1,"Hub 1, Port 1",,Hewlett-Packard,SK-2885 keyboard,6&9e5dab&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_03f0&Pid_0324\5&2d64abf2&0&1
PEPWUD25364,HP Basic USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/10/2011 5:05:37 PM,2/12/2011 11:48:02 AM,03f0,324,1,3,1,1,"Hub 3, Port 2",,Hewlett-Packard,SK-2885 keyboard,6&3753903&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_03f0&Pid_0324\5&2d7e750b&0&2
PEPWUD25364,Kensington USB/PS2 Orbit,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,8/2/2013 8:12:39 PM,8/2/2013 8:12:43 PM,047d,1022,4,3,1,2,"Hub 2, Port 1",,Kensington,Orbit Optical,6&2c6b3fe3&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),100 mA,1.1,USB Human Interface Device,5.1.2600.5512,USB\Vid_047d&Pid_1022\5&88d10a2&0&1
PEPWUD25364,Kensington USB/PS2 Orbit,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,8/6/2013 7:35:33 AM,8/25/2015 6:16:33 AM,047d,1022,4,3,1,2,"Hub 0, Port 2",,Kensington,Orbit Optical,6&108001a5&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),100 mA,1.1,USB Human Interface Device,5.1.2600.5512,USB\Vid_047d&Pid_1022\5&131b0a18&0&2
PEPWUD25364,Kensington USB/PS2 Orbit,USB Human Interface Device,HID (Human Interface Device),Yes,Yes,No,No,,,3/18/2016 10:13:31 AM,3/18/2016 10:16:52 AM,047d,1022,4,3,1,2,"Hub 1, Port 1",,Kensington,Orbit Optical,6&30bb6618&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),100 mA,1.1,USB Human Interface Device,5.1.2600.5512,USB\Vid_047d&Pid_1022\5&2d64abf2&0&1
PEPWUD25364,Kensington USB/PS2 Orbit,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,1/12/2012 12:15:27 PM,5/7/2013 2:35:51 PM,047d,1022,4,3,1,2,"Hub 1, Port 2",,Kensington,Orbit Optical,6&1e01b573&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),100 mA,1.1,USB Human Interface Device,5.1.2600.5512,USB\Vid_047d&Pid_1022\5&2d64abf2&0&2
PEPWUD25364,Kensington USB/PS2 Orbit,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/20/2013 3:06:58 PM,8/5/2013 9:45:38 PM,047d,1022,4,3,1,2,"Hub 3, Port 2",,Kensington,Orbit Optical,6&2a1dd47&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),100 mA,1.1,USB Human Interface Device,5.1.2600.5512,USB\Vid_047d&Pid_1022\5&2d7e750b&0&2
PEPWUD25364,MB810,Motorola MB810 USB Device,Mass Storage,No,No,No,No,,015F2C7510028012,10/9/2012 1:33:41 AM,10/9/2012 1:33:45 AM,22b8,4285,2.16,8,6,50,,,Motorola PCS,Droid X (Mass storage),7&20ffd787&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,,,USB Mass Storage Device,5.1.2600.0,USB\Vid_22b8&Pid_4285\015F2C7510028012
PEPWUD25364,MB810,Motorola MB810 USB Device,Mass Storage,No,No,No,No,,015F2C7510028012,10/9/2012 1:34:49 AM,11/2/2012 3:25:28 AM,22b8,4287,2.16,8,6,50,,,Motorola PCS,,7&20ffd787&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,,,USB Mass Storage Device,5.1.2600.0,USB\Vid_22b8&Pid_4287\015F2C7510028012
